Id,MSSubClass,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleCondition,SalePrice
1333,20,67,8877,reg,lvl,allpub,inside,mod,edwards,1fam,1story,4,6,1938,1958,gable,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,TA,Mn,ALQ,690,Unf,0,126,816,GasA,Ex,Y,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,3,Typ,1,Gd,Detchd,Fa,Y,0,0,0,0,0,0,5,2009,1,100000
1050,20,60,11100,reg,low,allpub,inside,gtl,edwards,1fam,1story,4,7,1946,2006,gable,compshg,metalsd,metalsd,none,0,ta,ta,cblock,NA,NA,NA,NA,0,NA,0,0,0,GasA,Ex,Y,SBrkr,930,0,0,930,0,0,1,0,2,1,Gd,6,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,4,2010,1,84900
1124,20,50,9405,reg,lvl,allpub,inside,gtl,edwards,1fam,1story,5,9,1947,2008,hip,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,TA,TA,No,Unf,0,Unf,0,698,698,GasA,Ex,Y,SBrkr,698,0,0,698,0,1,1,0,2,1,TA,4,Typ,0,NA,NA,NA,Y,0,200,0,0,0,0,6,2009,1,118000
312,20,50,8000,reg,lvl,allpub,inside,gtl,names,1fam,1story,6,6,1948,2002,gable,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,TA,TA,No,ALQ,680,Unf,0,292,972,GasA,Ex,Y,SBrkr,972,0,0,972,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,TA,Y,0,0,0,0,0,0,5,2009,1,132000
608,20,78,7800,reg,bnk,allpub,inside,mod,edwards,1fam,2story,5,8,1948,2002,gable,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,Gd,No,GLQ,603,Unf,0,293,896,GasA,Ex,Y,SBrkr,1112,896,0,2008,1,0,3,0,3,1,Ex,8,Typ,0,NA,Attchd,TA,Y,103,0,0,0,0,0,8,2006,1,225000
1015,20,60,11664,reg,lvl,allpub,inside,gtl,names,1fam,1story,6,5,1948,1950,gable,compshg,metalsd,metalsd,brkface,206,ta,ta,cblock,TA,Fa,No,BLQ,336,Unf,0,746,1082,GasA,TA,Y,SBrkr,1082,0,0,1082,0,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,TA,Y,0,130,0,0,0,0,11,2007,1,119200
1397,20,0,57200,ir1,bnk,allpub,inside,sev,timber,1fam,1story,5,5,1948,1950,gable,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,TA,TA,Av,BLQ,353,Rec,334,60,747,GasA,TA,Y,SBrkr,1687,0,0,1687,1,0,1,0,3,1,TA,7,Min1,2,TA,Detchd,TA,N,0,0,50,0,0,0,6,2010,1,160000
554,20,67,8777,reg,lvl,allpub,inside,gtl,edwards,1fam,1story,4,5,1949,2003,gable,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,NA,NA,NA,NA,0,NA,0,0,0,GasA,Ex,Y,SBrkr,1126,0,0,1126,0,0,2,0,2,1,Gd,5,Typ,0,NA,Detchd,TA,N,0,96,0,0,0,0,5,2009,1,108000
486,20,80,9600,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1950,2007,gable,compshg,metalsd,metalsd,none,0,gd,gd,cblock,TA,TA,No,ALQ,607,Unf,0,506,1113,GasA,Gd,Y,SBrkr,1113,0,0,1113,0,0,1,0,3,1,Gd,5,Typ,1,Gd,Attchd,TA,Y,0,80,120,0,0,0,7,2009,1,147000
951,20,60,7200,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,8,1950,2002,gable,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,TA,TA,No,ALQ,398,BLQ,149,317,864,GasA,Gd,Y,SBrkr,864,0,0,864,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,TA,Y,194,0,0,0,0,0,7,2007,1,129000
